word,count
United States,3760
Netherlands,1686
Vietnam,1207
Germany,824
South Korea,478
India,470
Japan,462
China,368
Brazil,323
Hong Kong,296
Lithuania,292
Russia,286
Taiwan,280
Czechia,270
Ukraine,155
France,133
Poland,120
United Kingdom,105
Canada,95
Greece,68
Italy,62
Australia,59
Chile,50
Pakistan,49
Belgium,46
Venezuela,46
Switzerland,45
Luxembourg,45
Portugal,36
Mexico,34
Estonia,33
Romania,31
Argentina,30
Dominican Republic,29
Ethiopia,28
Honduras,28
Turkey,25
Indonesia,23
Denmark,20
Bulgaria,19
Iran,18
Spain,15
Ireland,15
Hungary,15
Serbia,14
Costa Rica,13
South Africa,11
Paraguay,10
Palestine,10
Lebanon,10
Saudi Arabia,10
Singapore,9
Sweden,7
Finland,5
Colombia,5
Mongolia,4
Croatia,4
Israel,4
U.S. Virgin Islands,4
Bangladesh,4
Norway,3
Ecuador,3
Slovenia,3
Burundi,3
Morocco,2
North Macedonia,1
Zambia,1
Austria,1
Maldives,1
DR Congo,1
Panama,1
Nicaragua,1
United Arab Emirates,1